KODOMAP 150 150
KSPAWN 73 73
COLOR ridge 5e3f1f
COLOR tree 128103
COLOR mine ffde4d
COLOR wall dc7a1e
COLOR cc a63096
COLOR hero 33b0ff
COLOR kodo ff3b30
COLOR ground 33502f
E 0 0 1
E 0 1 1
E 0 10 1
E 0 107 1
E 0 108 1
E 0 109 1
E 0 11 1
E 0 110 1
E 0 111 1
E 0 112 1
E 0 113 1
E 0 114 1
E 0 115 1
E 0 116 1
E 0 117 1
E 0 118 1
E 0 119 1
E 0 12 1
E 0 120 1
E 0 121 1
E 0 122 1
E 0 123 1
E 0 124 1
E 0 125 1
E 0 126 1
E 0 127 1
E 0 128 1
E 0 129 1
E 0 13 1
E 0 130 1
E 0 131 1
E 0 132 1
E 0 133 1
E 0 134 1
E 0 135 1
E 0 136 1
E 0 137 1
E 0 138 1
E 0 139 1
E 0 14 1
E 0 140 1
E 0 141 1
E 0 142 1
E 0 143 1
E 0 144 1
E 0 145 1
E 0 146 1
E 0 147 1
E 0 148 1
E 0 149 1
E 0 15 1
E 0 16 1
E 0 17 1
E 0 2 1
E 0 3 1
E 0 36 1
E 0 37 1
E 0 38 1
E 0 39 1
E 0 4 1
E 0 40 1
E 0 41 1
E 0 42 1
E 0 43 1
E 0 44 1
E 0 45 1
E 0 46 1
E 0 47 1
E 0 48 1
E 0 49 1
E 0 5 1
E 0 50 1
E 0 51 1
E 0 52 1
E 0 53 1
E 0 54 1
E 0 55 1
E 0 56 1
E 0 57 1
E 0 58 1
E 0 59 1
E 0 6 1
E 0 60 1
E 0 61 1
E 0 62 1
E 0 63 1
E 0 64 1
E 0 65 1
E 0 66 1
E 0 67 1
E 0 68 1
E 0 69 1
E 0 7 1
E 0 70 1
E 0 71 1
E 0 72 1
E 0 73 1
E 0 74 1
E 0 75 1
E 0 76 1
E 0 77 1
E 0 78 1
E 0 79 1
E 0 8 1
E 0 80 1
E 0 9 1
E 1 0 1
E 1 1 1
E 1 10 1
E 1 107 1
E 1 108 1
E 1 109 1
E 1 11 1
E 1 110 1
E 1 111 1
E 1 112 1
E 1 113 1
E 1 114 1
E 1 115 1
E 1 116 1
E 1 117 1
E 1 118 1
E 1 119 1
E 1 12 1
E 1 120 1
E 1 121 1
E 1 122 1
E 1 123 1
E 1 124 1
E 1 125 1
E 1 126 1
E 1 127 1
E 1 128 1
E 1 129 1
E 1 13 1
E 1 130 1
E 1 131 1
E 1 132 1
E 1 133 1
E 1 134 1
E 1 135 1
E 1 136 1
E 1 137 1
E 1 138 1
E 1 139 1
E 1 14 1
E 1 140 1
E 1 141 1
E 1 142 1
E 1 143 1
E 1 144 1
E 1 145 1
E 1 146 1
E 1 147 1
E 1 148 1
E 1 149 1
E 1 15 1
E 1 16 1
E 1 17 1
E 1 2 1
E 1 3 1
E 1 36 1
E 1 37 1
E 1 38 1
E 1 39 1
E 1 4 1
E 1 40 1
E 1 41 1
E 1 42 1
E 1 43 1
E 1 44 1
E 1 45 1
E 1 46 1
E 1 47 1
E 1 48 1
E 1 49 1
E 1 5 1
E 1 50 1
E 1 51 1
E 1 52 1
E 1 53 1
E 1 54 1
E 1 55 1
E 1 56 1
E 1 57 1
E 1 58 1
E 1 59 1
E 1 6 1
E 1 60 1
E 1 61 1
E 1 62 1
E 1 63 1
E 1 64 1
E 1 65 1
E 1 66 1
E 1 67 1
E 1 68 1
E 1 69 1
E 1 7 1
E 1 70 1
E 1 71 1
E 1 72 1
E 1 73 1
E 1 74 1
E 1 75 1
E 1 76 1
E 1 77 1
E 1 78 1
E 1 79 1
E 1 8 1
E 1 80 1
E 1 9 1
E 10 0 1
E 10 1 1
E 10 10 1
E 10 107 1
E 10 108 1
E 10 109 1
E 10 11 1
E 10 110 1
E 10 111 1
E 10 112 1
E 10 113 1
E 10 114 1
E 10 115 1
E 10 116 1
E 10 117 1
E 10 118 1
E 10 119 1
E 10 12 1
E 10 120 1
E 10 121 1
E 10 122 1
E 10 123 1
E 10 124 1
E 10 125 1
E 10 126 1
E 10 127 1
E 10 128 1
E 10 129 1
E 10 13 1
E 10 130 1
E 10 131 1
E 10 132 1
E 10 133 1
E 10 134 1
E 10 135 1
E 10 136 1
E 10 137 1
E 10 138 1
E 10 139 1
E 10 14 1
E 10 140 1
E 10 141 1
E 10 142 1
E 10 143 1
E 10 144 1
E 10 145 1
E 10 146 1
E 10 147 1
E 10 148 1
E 10 149 1
E 10 15 1
E 10 16 1
E 10 17 1
E 10 2 1
E 10 3 1
